Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2018-2019,43,10439,4330254,Santa Clara,Santa Clara County Office of Education,Santa Clara County Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,146,146,100.00%,146,100.00%,134,134,100.00%,134,100.00%,Y
2018-2019,43,10439,4330320,Santa Clara,Santa Clara County Office of Education,Santa Clara County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,7,12,39,26,66.70%,27,69.20%,38,26,68.40%,27,71.10%,Y
2018-2019,43,10439,6069371,Santa Clara,Santa Clara County Office of Education,Santa Clara County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,P,Post Secondary,"1,190",429,36.10%,487,40.90%,929,366,39.40%,414,44.60%,Y
2018-2019,43,69369,1,Santa Clara,Alum Rock Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,25.00%,1,25.00%,4,1,25.00%,1,25.00%,Y
2018-2019,43,69369,106633,Santa Clara,Alum Rock Union Elementary,KIPP Heartwood Academy,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,Yes,628,Directly funded,Y,5,8,415,240,57.80%,348,83.90%,415,240,57.80%,348,83.90%,Y
2018-2019,43,69369,107748,Santa Clara,Alum Rock Union Elementary,Learning in an Urban Community with High Achievement (L.U.C.H.A.),Elementary School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2,No ,N/A,N/A,N,K,5,283,171,60.40%,225,79.50%,280,169,60.40%,223,79.60%,Y
2018-2019,43,69369,107763,Santa Clara,Alum Rock Union Elementary,Renaissance Academy,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,6,8,308,185,60.10%,248,80.50%,308,185,60.10%,248,80.50%,Y
2018-2019,43,69369,108167,Santa Clara,Alum Rock Union Elementary,Adelante Dual Language Academy,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2,No ,N/A,N/A,N,K,8,528,207,39.20%,300,56.80%,520,205,39.40%,297,57.10%,Y
2018-2019,43,69369,114900,Santa Clara,Alum Rock Union Elementary,Russo/McEntee Academy,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2,No ,N/A,N/A,N,K,5,446,275,61.70%,339,76.00%,438,270,61.60%,333,76.00%,Y
2018-2019,43,69369,125526,Santa Clara,Alum Rock Union Elementary,Alpha: Blanca Alvarado Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1375,Directly funded,Y,6,8,290,208,71.70%,255,87.90%,290,208,71.70%,255,87.90%,Y
2018-2019,43,69369,126284,Santa Clara,Alum Rock Union Elementary,Renaissance at Mathson,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2,No ,N/A,N/A,N,6,8,278,182,65.50%,240,86.30%,278,182,65.50%,240,86.30%,Y
2018-2019,43,69369,129924,Santa Clara,Alum Rock Union Elementary,Kipp Prize Preparatory Academy,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,Yes,1609,Directly funded,Y,5,8,416,254,61.10%,332,79.80%,416,254,61.10%,332,79.80%,Y
2018-2019,43,69369,135749,Santa Clara,Alum Rock Union Elementary,Adelante Dual Language Academy II,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2,No ,N/A,N/A,N,K,4,172,118,68.60%,138,80.20%,166,114,68.70%,132,79.50%,Y
2018-2019,43,69369,6046114,Santa Clara,Alum Rock Union Elementary,A. J. Dorsa Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,371,262,70.60%,321,86.50%,362,254,70.20%,312,86.20%,Y
2018-2019,43,69369,6046122,Santa Clara,Alum Rock Union Elementary,Ben Painter Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,P,8,334,218,65.30%,268,80.20%,330,217,65.80%,266,80.60%,Y
2018-2019,43,69369,6046130,Santa Clara,Alum Rock Union Elementary,Clyde Arbuckle Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,223,178,79.80%,203,91.00%,218,174,79.80%,198,90.80%,Y
2018-2019,43,69369,6046148,Santa Clara,Alum Rock Union Elementary,Clyde L. Fischer Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,289,221,76.50%,270,93.40%,289,221,76.50%,270,93.40%,Y
2018-2019,43,69369,6046155,Santa Clara,Alum Rock Union Elementary,Donald J. Meyer Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,369,244,66.10%,317,85.90%,363,242,66.70%,314,86.50%,Y
2018-2019,43,69369,6046189,Santa Clara,Alum Rock Union Elementary,Horace Cureton Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,385,267,69.40%,335,87.00%,379,264,69.70%,332,87.60%,Y
2018-2019,43,69369,6046197,Santa Clara,Alum Rock Union Elementary,Lee Mathson Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,293,239,81.60%,271,92.50%,293,239,81.60%,271,92.50%,Y
2018-2019,43,69369,6046213,Santa Clara,Alum Rock Union Elementary,Linda Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,512,292,57.00%,369,72.10%,508,289,56.90%,366,72.00%,Y
2018-2019,43,69369,6046221,Santa Clara,Alum Rock Union Elementary,Lyndale Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,334,226,67.70%,282,84.40%,329,221,67.20%,277,84.20%,Y
2018-2019,43,69369,6046239,Santa Clara,Alum Rock Union Elementary,Cesar Chavez Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,344,273,79.40%,314,91.30%,340,270,79.40%,310,91.20%,Y
2018-2019,43,69369,6046247,Santa Clara,Alum Rock Union Elementary,Aptitud Community Academy at Goss,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,Yes,1521,Locally funded,N,K,8,417,341,81.80%,386,92.60%,413,338,81.80%,383,92.70%,Y
2018-2019,43,69369,6046254,Santa Clara,Alum Rock Union Elementary,Millard McCollam Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,502,229,45.60%,293,58.40%,485,223,46.00%,284,58.60%,Y
2018-2019,43,69369,6046270,Santa Clara,Alum Rock Union Elementary,O. S. Hubbard Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,8,622,477,76.70%,564,90.70%,613,472,77.00%,557,90.90%,Y
2018-2019,43,69369,6046304,Santa Clara,Alum Rock Union Elementary,San Antonio Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,344,248,72.10%,302,87.80%,338,243,71.90%,296,87.60%,Y
2018-2019,43,69369,6046312,Santa Clara,Alum Rock Union Elementary,Sylvia Cassell Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,389,273,70.20%,340,87.40%,378,265,70.10%,332,87.80%,Y
2018-2019,43,69369,6046320,Santa Clara,Alum Rock Union Elementary,Thomas P. Ryan Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,305,212,69.50%,260,85.20%,299,209,69.90%,255,85.30%,Y
2018-2019,43,69369,6046338,Santa Clara,Alum Rock Union Elementary,William Sheppard Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,601,377,62.70%,483,80.40%,601,377,62.70%,483,80.40%,Y
2018-2019,43,69369,6068910,Santa Clara,Alum Rock Union Elementary,Joseph George Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,521,350,67.20%,448,86.00%,521,350,67.20%,448,86.00%,Y
2018-2019,43,69369,6089270,Santa Clara,Alum Rock Union Elementary,Ocala Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,449,299,66.60%,375,83.50%,449,299,66.60%,375,83.50%,Y
2018-2019,43,69377,1,Santa Clara,Berryessa Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,2,33.30%,2,33.30%,6,2,33.30%,2,33.30%,Y
2018-2019,43,69377,6046361,Santa Clara,Berryessa Union Elementary,Laneview Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,373,108,29.00%,131,35.10%,373,108,29.00%,131,35.10%,Y
2018-2019,43,69377,6046379,Santa Clara,Berryessa Union Elementary,Noble Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,456,81,17.80%,97,21.30%,456,81,17.80%,97,21.30%,Y
2018-2019,43,69377,6046387,Santa Clara,Berryessa Union Elementary,Northwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,574,74,12.90%,94,16.40%,574,74,12.90%,94,16.40%,Y
2018-2019,43,69377,6046395,Santa Clara,Berryessa Union Elementary,Piedmont Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,819,270,33.00%,338,41.30%,819,270,33.00%,338,41.30%,Y
2018-2019,43,69377,6046403,Santa Clara,Berryessa Union Elementary,Toyon Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,292,119,40.80%,151,51.70%,274,115,42.00%,147,53.60%,Y
2018-2019,43,69377,6067177,Santa Clara,Berryessa Union Elementary,Ruskin Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,568,85,15.00%,110,19.40%,568,85,15.00%,110,19.40%,Y
2018-2019,43,69377,6068928,Santa Clara,Berryessa Union Elementary,Morrill Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,633,210,33.20%,234,37.00%,633,210,33.20%,234,37.00%,Y
2018-2019,43,69377,6089288,Santa Clara,Berryessa Union Elementary,Cherrywood Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,391,101,25.80%,118,30.20%,391,101,25.80%,118,30.20%,Y
2018-2019,43,69377,6093033,Santa Clara,Berryessa Union Elementary,Sierramont Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,930,208,22.40%,254,27.30%,930,208,22.40%,254,27.30%,Y
2018-2019,43,69377,6093041,Santa Clara,Berryessa Union Elementary,Vinci Park Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,564,185,32.80%,223,39.50%,539,178,33.00%,214,39.70%,Y
2018-2019,43,69377,6095335,Santa Clara,Berryessa Union Elementary,Brooktree Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,461,108,23.40%,132,28.60%,429,104,24.20%,126,29.40%,Y
2018-2019,43,69377,6095343,Santa Clara,Berryessa Union Elementary,Majestic Way Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,518,122,23.60%,148,28.60%,518,122,23.60%,148,28.60%,Y
2018-2019,43,69377,6095350,Santa Clara,Berryessa Union Elementary,Summerdale Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,403,108,26.80%,138,34.20%,403,108,26.80%,138,34.20%,Y
2018-2019,43,69385,1,Santa Clara,Cambrian,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,2,18.20%,2,18.20%,11,2,18.20%,2,18.20%,Y
2018-2019,43,69385,133439,Santa Clara,Cambrian,Steindorf STEAM K-8 Magnet,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,502,15,3.00%,15,3.00%,502,15,3.00%,15,3.00%,Y
2018-2019,43,69385,6046411,Santa Clara,Cambrian,Bagby Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,511,86,16.80%,99,19.40%,502,86,17.10%,99,19.70%,Y
2018-2019,43,69385,6046445,Santa Clara,Cambrian,Fammatre Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,638,Locally funded,N,K,5,526,67,12.70%,78,14.80%,514,67,13.00%,78,15.20%,Y
2018-2019,43,69385,6046452,Santa Clara,Cambrian,Farnham Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,574,Locally funded,N,K,5,528,75,14.20%,82,15.50%,518,74,14.30%,80,15.40%,Y
2018-2019,43,69385,6046486,Santa Clara,Cambrian,Price Charter Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,575,Locally funded,N,6,8,962,150,15.60%,171,17.80%,962,150,15.60%,171,17.80%,Y
2018-2019,43,69385,6046494,Santa Clara,Cambrian,Sartorette Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,497,Locally funded,N,K,5,431,91,21.10%,106,24.60%,425,90,21.20%,104,24.50%,Y
2018-2019,43,69393,1,Santa Clara,Campbell Union,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,0,0.00%,1,10.00%,10,0,0.00%,1,10.00%,Y
2018-2019,43,69393,106005,Santa Clara,Campbell Union,Village,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,817,Locally funded,N,K,5,263,15,5.70%,19,7.20%,263,15,5.70%,19,7.20%,Y
2018-2019,43,69393,137273,Santa Clara,Campbell Union,Campbell School of Innovation,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1969,Locally funded,N,K,8,300,47,15.70%,52,17.30%,287,47,16.40%,52,18.10%,Y
2018-2019,43,69393,6046510,Santa Clara,Campbell Union,Blackford Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,993,Locally funded,N,K,5,524,309,59.00%,354,67.60%,508,304,59.80%,345,67.90%,Y
2018-2019,43,69393,6046536,Santa Clara,Campbell Union,Capri Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,886,Locally funded,N,K,5,589,163,27.70%,196,33.30%,577,162,28.10%,195,33.80%,Y
2018-2019,43,69393,6046544,Santa Clara,Campbell Union,Castlemont Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,866,Locally funded,N,K,5,626,290,46.30%,352,56.20%,618,287,46.40%,347,56.10%,Y
2018-2019,43,69393,6046577,Santa Clara,Campbell Union,Forest Hill Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,997,Locally funded,N,K,5,657,64,9.70%,78,11.90%,639,62,9.70%,76,11.90%,Y
2018-2019,43,69393,6046601,Santa Clara,Campbell Union,Lynhaven Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,865,Locally funded,N,K,5,579,258,44.60%,306,52.80%,565,254,45.00%,302,53.50%,Y
2018-2019,43,69393,6046619,Santa Clara,Campbell Union,Marshall Lane Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,984,Locally funded,N,K,5,541,38,7.00%,39,7.20%,534,38,7.10%,39,7.30%,Y
2018-2019,43,69393,6046627,Santa Clara,Campbell Union,Monroe Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,899,Locally funded,N,5,8,"1,118",639,57.20%,748,66.90%,"1,118",639,57.20%,748,66.90%,Y
2018-2019,43,69393,6046668,Santa Clara,Campbell Union,Rolling Hills Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,887,Locally funded,N,5,8,"1,062",221,20.80%,254,23.90%,"1,062",221,20.80%,254,23.90%,Y
2018-2019,43,69393,6046676,Santa Clara,Campbell Union,Rosemary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,K,5,466,362,77.70%,414,88.80%,458,362,79.00%,413,90.20%,Y
2018-2019,43,69393,6046692,Santa Clara,Campbell Union,Sherman Oaks Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,304,Locally funded,N,K,6,538,300,55.80%,366,68.00%,527,295,56.00%,359,68.10%,Y
2018-2019,43,69401,1,Santa Clara,Campbell Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32,3,9.40%,3,9.40%,23,3,13.00%,3,13.00%,Y
2018-2019,43,69401,4330239,Santa Clara,Campbell Union High,Leigh High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,772",151,8.50%,168,9.50%,"1,733",145,8.40%,162,9.30%,Y
2018-2019,43,69401,4330759,Santa Clara,Campbell Union High,Boynton High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,209,107,51.20%,110,52.60%,191,103,53.90%,105,55.00%,Y
2018-2019,43,69401,4330866,Santa Clara,Campbell Union High,Branham High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,802",265,14.70%,302,16.80%,"1,758",257,14.60%,294,16.70%,Y
2018-2019,43,69401,4331955,Santa Clara,Campbell Union High,Del Mar High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,300",525,40.40%,643,49.50%,"1,268",513,40.50%,629,49.60%,Y
2018-2019,43,69401,4336137,Santa Clara,Campbell Union High,Prospect High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,555",386,24.80%,435,28.00%,"1,501",368,24.50%,415,27.60%,Y
2018-2019,43,69401,4338505,Santa Clara,Campbell Union High,Westmont High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,601",383,23.90%,434,27.10%,"1,569",373,23.80%,423,27.00%,Y
2018-2019,43,69419,1,Santa Clara,Cupertino Union,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,0,0.00%,0,0.00%,12,0,0.00%,0,0.00%,Y
2018-2019,43,69419,108126,Santa Clara,Cupertino Union,Sam H. Lawson Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,138",50,4.40%,58,5.10%,"1,138",50,4.40%,58,5.10%,Y
2018-2019,43,69419,6046718,Santa Clara,Cupertino Union,C. B. Eaton Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,497,10,2.00%,13,2.60%,497,10,2.00%,13,2.60%,Y
2018-2019,43,69419,6046742,Santa Clara,Cupertino Union,Chester W. Nimitz Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,628,106,16.90%,138,22.00%,586,106,18.10%,136,23.20%,Y
2018-2019,43,69419,6046759,Santa Clara,Cupertino Union,L. P. Collins Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,702,16,2.30%,20,2.80%,702,16,2.30%,20,2.80%,Y
2018-2019,43,69419,6046767,Santa Clara,Cupertino Union,Cupertino Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,358",109,8.00%,129,9.50%,"1,358",109,8.00%,129,9.50%,Y
2018-2019,43,69419,6046775,Santa Clara,Cupertino Union,D. J. Sedgwick Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,617,39,6.30%,41,6.60%,617,39,6.30%,41,6.60%,Y
2018-2019,43,69419,6046809,Santa Clara,Cupertino Union,Dwight D. Eisenhower Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,574,40,7.00%,46,8.00%,573,40,7.00%,46,8.00%,Y
2018-2019,43,69419,6046841,Santa Clara,Cupertino Union,Garden Gate Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,576,16,2.80%,19,3.30%,576,16,2.80%,19,3.30%,Y
2018-2019,43,69419,6046882,Santa Clara,Cupertino Union,Joaquin Miller Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,191",48,4.00%,55,4.60%,"1,191",48,4.00%,55,4.60%,Y
2018-2019,43,69419,6046890,Santa Clara,Cupertino Union,John F. Kennedy Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,198",37,3.10%,43,3.60%,"1,198",37,3.10%,43,3.60%,Y
2018-2019,43,69419,6046908,Santa Clara,Cupertino Union,John Muir Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,354,21,5.90%,23,6.50%,308,21,6.80%,23,7.50%,Y
2018-2019,43,69419,6046932,Santa Clara,Cupertino Union,Christa McAuliffe Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,493,20,4.10%,20,4.10%,493,20,4.10%,20,4.10%,Y
2018-2019,43,69419,6046940,Santa Clara,Cupertino Union,Abraham Lincoln Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,576,18,3.10%,19,3.30%,576,18,3.10%,19,3.30%,Y
2018-2019,43,69419,6046957,Santa Clara,Cupertino Union,Louis E. Stocklmeir Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,"1,106",38,3.40%,45,4.10%,"1,106",38,3.40%,45,4.10%,Y
2018-2019,43,69419,6046965,Santa Clara,Cupertino Union,Manuel De Vargas Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,519,77,14.80%,93,17.90%,490,74,15.10%,89,18.20%,Y
2018-2019,43,69419,6046981,Santa Clara,Cupertino Union,Montclaire Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,428,5,1.20%,6,1.40%,428,5,1.20%,6,1.40%,Y
2018-2019,43,69419,6047005,Santa Clara,Cupertino Union,Nelson S. Dilworth Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,435,13,3.00%,15,3.40%,434,13,3.00%,15,3.50%,Y
2018-2019,43,69419,6047039,Santa Clara,Cupertino Union,Murdock-Portal Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,570,10,1.80%,10,1.80%,570,10,1.80%,10,1.80%,Y
2018-2019,43,69419,6047047,Santa Clara,Cupertino Union,R. I. Meyerholz Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,771,31,4.00%,36,4.70%,771,31,4.00%,36,4.70%,Y
2018-2019,43,69419,6047054,Santa Clara,Cupertino Union,William Regnart Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,452,16,3.50%,18,4.00%,418,14,3.30%,16,3.80%,Y
2018-2019,43,69419,6047088,Santa Clara,Cupertino Union,Stevens Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,582,15,2.60%,16,2.70%,544,15,2.80%,16,2.90%,Y
2018-2019,43,69419,6047096,Santa Clara,Cupertino Union,Warren E. Hyde Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,998,107,10.70%,121,12.10%,998,107,10.70%,121,12.10%,Y
2018-2019,43,69419,6047104,Santa Clara,Cupertino Union,West Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,554,16,2.90%,17,3.10%,554,16,2.90%,17,3.10%,Y
2018-2019,43,69419,6047112,Santa Clara,Cupertino Union,William Faria Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,695,4,0.60%,5,0.70%,695,4,0.60%,5,0.70%,Y
2018-2019,43,69419,6067185,Santa Clara,Cupertino Union,Blue Hills Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,339,13,3.80%,15,4.40%,339,13,3.80%,15,4.40%,Y
2018-2019,43,69427,1,Santa Clara,East Side Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,13,25.50%,13,25.50%,34,9,26.50%,9,26.50%,Y
2018-2019,43,69427,107151,Santa Clara,East Side Union High,"Escuela Popular/Center for Training and Careers, Family Learning",High School District,High Schools (Public),Traditional,N/A,Yes,646,Directly funded,Y,9,12,643,381,59.30%,381,59.30%,0,0,0.00%,0,0.00%,Y
2018-2019,43,69427,116889,Santa Clara,East Side Union High,KIPP San Jose Collegiate,High School District,High Schools (Public),Traditional,N/A,Yes,976,Directly funded,Y,9,12,530,268,50.60%,368,69.40%,511,254,49.70%,353,69.10%,Y
2018-2019,43,69427,123745,Santa Clara,East Side Union High,Summit Public School: Rainier,High School District,High Schools (Public),Traditional,N/A,Yes,1276,Directly funded,Y,9,12,362,140,38.70%,168,46.40%,354,136,38.40%,164,46.30%,Y
2018-2019,43,69427,125427,Santa Clara,East Side Union High,Calero High,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,10,12,366,161,44.00%,189,51.60%,187,86,46.00%,100,53.50%,Y
2018-2019,43,69427,125617,Santa Clara,East Side Union High,ACE Charter High,High School District,High Schools (Public),Traditional,N/A,Yes,1387,Directly funded,Y,9,12,363,235,64.70%,275,75.80%,349,228,65.30%,266,76.20%,Y
2018-2019,43,69427,130856,Santa Clara,East Side Union High,Luis Valdez Leadership Academy,High School District,High Schools (Public),Traditional,N/A,Yes,1681,Directly funded,Y,9,12,363,224,61.70%,276,76.00%,351,218,62.10%,269,76.60%,Y
2018-2019,43,69427,131995,Santa Clara,East Side Union High,B. Roberto Cruz Leadership Academy,High School District,High Schools (Public),Traditional,N/A,Yes,1675,Directly funded,Y,9,12,270,183,67.80%,225,83.30%,254,174,68.50%,214,84.30%,Y
2018-2019,43,69427,132274,Santa Clara,East Side Union High,Alpha Cindy Avitia High,High School District,High Schools (Public),Traditional,N/A,Yes,1737,Directly funded,Y,9,12,438,319,72.80%,387,88.40%,427,312,73.10%,377,88.30%,Y
2018-2019,43,69427,4330015,Santa Clara,East Side Union High,Yerba Buena High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,706",915,53.60%,"1,123",65.80%,"1,670",892,53.40%,"1,097",65.70%,Y
